,えび,かに,小麦,そば,卵,乳,落花生,くるみ,"アーモンド",あわび,いか,いくら,オレンジ,"カシューナッツ","キウイフルーツ",牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン,魚介類,熱量(kcal),たんぱく質(g),脂質(g),炭水化物(g),"糖質(g)","食物繊維(g)",食塩相当量(g)
博多明太子味ポテト（M）,▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,362,4.6,20.0,42.5,39.2,3.3,3.0
博多明太子味ポテト（L）,▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,473,5.9,26.2,55.1,50.9,4.2,3.6
博多明太子味ポテト（箱）,▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,944,11.7,52.3,110.3,101.8,8.5,7.1
焦がしバター醤油味ポテト  （M),▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,363,4.6,20.0,42.7,39.5,3.2,2.8
焦がしバター醤油味ポテト  （L),▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,473,5.9,26.2,55.4,51.2,4.2,3.4
焦がしバター醤油味ポテト  （箱）,▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,945,11.7,52.3,110.7,102.3,8.4,6.8
チキンコンソメ味ポテト  （M),▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,○,▲,,363,4.7,20.0,42.5,39.2,3.3,2.9
チキンコンソメ味ポテト  （L),▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,○,▲,,473,6.0,26.2,55.1,50.9,4.2,3.5
チキンコンソメ味ポテト  （箱）,▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,○,▲,,944,12.0,52.3,110.2,101.7,8.5,6.9
ラウンドハッシュポテト （３個）,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,230,1.3,18.6,13.9,12.6,1.3,0.8
サイドメニュー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
チキンナゲット（5個）,▲,,○,,○,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,▲,▲,,384,13.0,32.0,9.0,8.2,0.8,1.9
チキンナゲット（10個）,▲,,○,,○,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,▲,▲,,767,26.0,64.0,18.0,16.4,1.6,3.8
（BBQ）,,,○,,,,,,,,,,,,,,,,,○,,,,,,,,,,23,0.1,0.2,5.4,5.2,0.2,0.4
(ハニーマスタード),,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,34,0.2,2.1,3.6,3.5,0.1,0.3
（ガーリックマヨ）,,,,,○,,,,,,,,,,,,○,,,,,,,,,,,,,42,0.2,3.3,2.9,2.8,0.1,0.5
(スモークチーズ）,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,30,0.7,2.6,1.7,1.7,0.0,0.5
（博多明太マヨ）,,,○,,○,,,,,,,,,,,,,○,,○,,,,,,,,,,72,0.1,7.4,0.7,0.7,0.0,0.5
（わさびマヨ）,,,,,○,,,,,,,,,,,,,,,,,,,,,,○,,,81,0.2,7.7,2.7,2.7,0.0,0.2
フライドチキン  （1本）,▲,,○,,○,○,▲,,,,,,▲,,,▲,△,,,○,○,,▲,,▲,,▲,▲,,508,14.2,41.6,16.8,16.4,0.4,1.4
チキンフィレBOX  （6枚入り）,▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,▲,▲,,"2,544",131.4,147.0,62.4,60.0,2.4,8.4
ウェンディーズ  チリ  (M),▲,,△,,△,△,▲,,,,,,▲,,,○,▲,,,▲,▲,,▲,,▲,,▲,▲,,210,15.2,12.6,14.5,10.0,4.5,2.2
ウェンディーズ  チリ  (L),▲,,△,,△,△,▲,,,,,,▲,,,○,▲,,,▲,▲,,▲,,▲,,▲,▲,,296,21.5,17.8,20.4,14.1,6.3,3.1
〔ホットチリソース〕,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,6,0.0,0.1,1.3,1.3,0.0,0.7
サイドメニュー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フレンチフライ チリ＆チーズ,▲,,△,,△,○,▲,,,,,,▲,,,○,▲,,,○,▲,,▲,,▲,,▲,▲,,346,7.4,17.8,40.4,36.8,3.6,2.3
シェアボックス(A) （ﾎｰﾑｽﾀｲﾙﾁｷﾝ2枚・ﾁｷﾅｹﾞｯﾄ5個・ﾌﾚﾝﾁﾌﾗｲﾎﾟﾃﾄL1個）,▲,,○,,○,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,▲,▲,,"1,694",62.3,107.1,82.9,77.2,5.7,7.3
シェアボックス(B) （ホームスタイルチキン2枚・フレンチフライ箱ポテ!1個）,▲,,○,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,○,,▲,,▲,,▲,▲,,"1,771",54.8,101.1,127.1,117.9,9.2,8.0
※上記シェアボックスについては各種ポテトフレーバー及び各種添付ソースのアレルギーは含まれません。これらの情報は【ポテトメニュー】【サイドメニュー】をご確認ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
デザート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ソフトクリーム入りキャラメルかき氷  マンゴー,▲,,▲,,▲,○,▲,,,,,,○,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,230,3.4,6.2,41.5,41.1,0.4,0.3
ソフトクリーム入りキャラメルかき氷  天空の抹茶Ⓡ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,196,4.1,6.3,31.8,30.5,1.3,0.3
ソフトクリーム入りキャラメルかき氷  コーヒー,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,192,3.5,6.2,31.0,30.9,0.1,0.4
ソフトクリーム入りかき氷〔いちご〕,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,194,2.8,5.3,35.2,35.1,0.1,0.3
ソフトクリーム入りかき氷〔ブルーハワイ〕,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,194,2.8,5.3,35.2,35.1,0.1,0.3
白玉クリームぜんざい,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,○,▲,,▲,,▲,,▲,▲,,291,6.3,6.9,51.2,49.1,2.1,0.3
まぜまぜシェイク  天空の抹茶Ⓡあずき,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,298,7.3,10.2,44.5,42.2,2.3,0.4
まぜまぜシェイク  強焙煎ほうじ茶あずき,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,298,7.2,10.2,44.8,42.2,2.6,0.4
ポッフェルチェ（ミニパンケーキ）７個,▲,,○,△,○,○,▲,,,,,,▲,,,▲,▲,,,○,▲,△,▲,,▲,,△,▲,,261,4.3,15.8,25.5,24.8,0.7,0.9
ポッフェルチェ（ミニパンケーキ）28個,▲,,○,△,○,○,▲,,,,,,▲,,,▲,▲,,,○,▲,△,▲,,▲,,△,▲,,976,17.1,56.6,99.8,97.0,2.8,2.9
ホットドリンク  （店舗によりマグカップを使用しています）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ホットコーヒー（S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,8,0.4,0.0,1.3,—,ー,0.0
